,restaurant,full_address
0,XDv29FffNd2dWnDOtZP-wg,1815 Massachusetts Ave Cambridge (MA)
1,HxegWRjhi7m73mXRI8qQIg,24 Pearl St Cambridge (MA)
2,Vd4aepl7CMBYWsZ97iRFtg,50 Broadway Cambridge (MA)
3,#NAME?,100 Kirkland St Cambridge (MA)
4,2XoPo7BcS4AQQAnsYp5Jhg,928 Massachusetts Ave Cambridge (MA)
5,FyuAaPKIIJH03sgtFRRuig,2088 Massachusetts Ave Cambridge (MA)
6,R7BLdmInOLwKh6bpfuB-Pg,130 Fawcett St Cambridge (MA)
7,ch1ercqwoNLpQLxpTb90KQ,54 Jfk St Cambridge (MA)
8,uSM_sCp22BJWeatTDl6ODA,44 Brattle St Cambridge (MA)
9,5hbOXgrvCYsD6m3HDdX4Ug,575 Massachusetts Ave Cambridge (MA)
10,f7rqA0KFOoo3QO3_UiOzYw,781 Main St Cambridge (MA)
11,CoZmZKv2lCYd-UoAsAUobA,739 Massachusetts Ave Cambridge (MA)
12,r8yr6a2fB0qRyR5JOsxhQQ,3 Brattle St Cambridge (MA)
13,Sgm85LgzOGfcImy5jc9ijQ,149 Alewife Brook Pkwy Cambridge (MA)
14,vrzWKdVeg2aSCS8p-uS7Vg,5 White St Cambridge (MA)
15,K8QUHdD1q4cmP3S8fYVYog,2420 Massachusetts Ave Cambridge (MA)
16,2AORsy2N2kbFX91EXm10Qg,90 Sherman St Cambridge (MA)
17,NIE_VL7oTdX0J9U0jxidLQ,"227 Alewife Brook Pkwy, Spc B5 Cambridge (MA)"
18,nr0OefH36jhgzWN5tnYwlw,114 Mount Auburn St Cambridge (MA)
19,cuFnppYt1KYfiiCtSaZX6g,1815 Massachusetts Ave Cambridge (MA)
20,sPd-zQtPSARMw1vx131v1w,460 Massachusetts Ave Cambridge (MA)
21,bNZ3-0rse12NKdSVqQ30xw,608 Main St Cambridge (MA)
22,Rhm64d8Zwbjd-WAji9BlHA,736 Massachusetts Ave Cambridge (MA)
23,PYDzfxSLUCCwQysbOkFSVA,1 Kendall Sq Cambridge (MA)
24,0EiJh5yw75hgNozbt5LnXA,15 Hampshire St Cambridge (MA)
25,e54WzrGWxuQBlABMCfM3DQ,228 Broadway Cambridge (MA)
26,HD6vJpEczZapuhgiQtvmJQ,2261 Massachusetts Ave Cambridge (MA)
27,JdWplSS3RfBFamm4FshtcA,280 Green St Cambridge (MA)
28,QAbqOn5VhO4k15_wfSQdvg,286 Franklin St Cambridge (MA)
