restaurant,name
XDv29FffNd2dWnDOtZP-wg,Sapporo Ramen
HxegWRjhi7m73mXRI8qQIg,Rangzen Tibetan Place
Vd4aepl7CMBYWsZ97iRFtg,Boston Marriott Cambridge
#NAME?,Broadsheet Coffee Roasters
2XoPo7BcS4AQQAnsYp5Jhg,Pammy's
FyuAaPKIIJH03sgtFRRuig,Wasabi at Porter
R7BLdmInOLwKh6bpfuB-Pg,Iggy's Bread
ch1ercqwoNLpQLxpTb90KQ,Boston Tea Stop
uSM_sCp22BJWeatTDl6ODA,Harvest
5hbOXgrvCYsD6m3HDdX4Ug,Bao Nation
f7rqA0KFOoo3QO3_UiOzYw,Mae Asian Eatery
CoZmZKv2lCYd-UoAsAUobA,Asmara Restaurant
r8yr6a2fB0qRyR5JOsxhQQ,&pizza - Harvard Square
Sgm85LgzOGfcImy5jc9ijQ,Summer Shack-  Cambridge
vrzWKdVeg2aSCS8p-uS7Vg,Panera Bread
K8QUHdD1q4cmP3S8fYVYog,Cambridge House of Pizza
2AORsy2N2kbFX91EXm10Qg,Gran Gusto
NIE_VL7oTdX0J9U0jxidLQ,Chipotle Mexican Grill
nr0OefH36jhgzWN5tnYwlw,Flour Bakery + Cafe
cuFnppYt1KYfiiCtSaZX6g,Izakaya Ittoku
sPd-zQtPSARMw1vx131v1w,Mary Chung Restaurant
bNZ3-0rse12NKdSVqQ30xw,Sulmona
Rhm64d8Zwbjd-WAji9BlHA,Mass Chicken
PYDzfxSLUCCwQysbOkFSVA,State Park
0EiJh5yw75hgNozbt5LnXA,Mamaleh's Delicatessen
e54WzrGWxuQBlABMCfM3DQ,Mu Lan
HD6vJpEczZapuhgiQtvmJQ,Yummy Thai
JdWplSS3RfBFamm4FshtcA,Green Street
QAbqOn5VhO4k15_wfSQdvg,Andala Coffee House
UgAVU0n3ysKBVoNWp4OHcg,Shabu & Mein
kX9C_pmpCbqqY0weZVA02w,Le's Sushi Bar & Restaurant
mmmNz7ErqPPu1QIhbZp3mw,Olé
qAUJ4Kw5k3OFND4CwgyFdQ,Ma Magoo's Pizza & Sub Shop
6bw34tvKak9ZD0xA7iKM-g,Hong Kong
6cE6ZKMM9QXEQIuxH_5R1w,Viale
aVS9DWS7GUcF6oExGmYnlg,The Sinclair
Y1-cXsWZ1v2rRj5MMtFsqA,Commonwealth Restaurant and Market
WYnXpXym2DMtwchDcbilmg,Area Four
bul_5Ahk_QYLUAJ4Od27jg,Café Luna
raUmaP8y6blFtcvwKryzGw,Mainely Burgers
aRKDmJRynUacchS2_3yFKQ,Pepper Sky's Thai Sensation
-0iqnv7MjKrgh7Q7bYRlUQ,OTTO
l31prq6BJDInY_yekvqIaw,Frank's Steak House
n4w8EfGk828qQehX9JSehQ,Life Alive
vfbdpdpoHrcFRalQfLtRWg,Royal Punjab
FtjZTO1BUlotjgas68nfHw,Dimi's Place
GHe641VggznYYFnD9RM8pQ,Zoe's
CCG8oASUxEXjpXfThE6D4w,All Star Sandwich Bar
Jm5ewLJxToqSVTyhpMrXmg,Nirvana The Taste of India
UZJ361wkdyZfxWax3oc3rg,Brookline Lunch
U4eJae433Tto-UpRAzdojA,OggiGourmet
_oFjSOkTlCjIAvgprpCLig,Silk Road Uyghur Cuisine
2unTFmIUO6fCNUCIBLsMkQ,El Jefe's Taqueria
XlcWm3OdV1QrSPF_AwrlTQ,Shays Pub & Wine Bar
Bmvu1grPzxECp7dxm8zerA,Cambridge Brewing Company
PwTk4xS2NYJEPO8r5t4N4w,Saté Grill-on-Wheels
psmBt1lYNosvPbzlSbmJFA,Basta Pasta Trattoria
yRz7OBOKO0oHrecyKjA7Yw,Peet's Coffee
nlZqFGhEpCa6RyKTVXLScA,Darul Kabab
ejubYsH3vTxWeCfe8oxMLg,Sweet Touch Cafe
WlsDN2Gh3_04c-FnWjzw7g,Waypoint
sCnBMDJmjh0oCEFfzhp-ZA,Anthony's Pizza
CWDbvfGEY2cKfDqTF36XuA,Paris Baguette
7V2_ajvHw663gTU0RSqsZg,Starbucks
zkUgoHp4cyCpOyrJKofX6A,Cafe Mami
iVTuysN5MoDfMdapoLLW6Q,9Zaab
QJGbW9bf9b0vaiZQ5TOzlw,Chocho's
K48RyUD_dYWfknfS9h0Fwg,Tatte Bakery & Cafe
CGIFfpKkQG2p3-x0jWC9dw,Le Méridien Boston Cambridge
baoHJnYFntDUICr10aFj8Q,Sakana
0_GJkryoUNKS9YOTUrthsQ,Blaze Pizza
UzBSiGPQwFqsHXrkK5iJ4Q,Chalawan
ZHwcUECU8DYmZovA0AxvfQ,Yume Wo Katare
pvlM--HZY1a8SqMXiwEz1A,Border Café
RBx16Q13I43yUESbTnzEgA,Momi Nonmi
NJsT9kBEOW3uyPcvmZrfJA,Yume Ga Arukara
wrMG0WYZKIZX9Zp30kCFGA,Clover Food Lab
JafzmqQsbZAr-JE99rOGtw,1369 Coffee House
UNWc7b0bte0LoCU2xsRGyA,Simon's Coffee Shop
nSGYp0DP2zAOHvTsezG0Ug,Chipotle Mexican Grill
#NAME?,Happy Lamb Hot Pot
lad_3DljDhzE61u_GbseTA,Alden & Harlow
HU2iYyCPkmP1gxuKYoiKNg,Shaking Crab - Cambridge
XE3oEdVJ2wu_J5X8TdLU-w,"730 Tavern, Kitchen & Patio"
e0yRgMXdNxKhNrRD04KJkQ,H Mart - Cambridge
odX1Ddn_KXEc37JMLnwOTg,Go Go Curry Cambridge
UtS03G9OuSNuEtm-lHcf7w,The Cellar Food & Drink
vjx_lLRImGPZCu_B7arMOw,Izzy's Restaurant & Sub Shop
2ajJnC5B5LBfzA8mtpKRkg,Mass Ave Diner
AHC01qlTiuHn-pHVQ_4DGQ,Aceituna Grill
tEOfQhmSvewl2SO_XzRK3Q,Bisq
kLr68qdt6nutZCuCMz5mDg,Oleana Restaurant
x1RMxTftVIjS8HvWf8tpoA,The Red House
#NAME?,Christopher's
sizgsuBgbH1ShRE5iDTjxA,Chutney's
G7iw9QSWBMyB05yvq-xs4Q,Fuji At Kendall
oYN2AV5oYv93Z2NevvOKmA,Park Restaurant & Bar
YFkrZhuA1phCiJB1EJV39w,Middle East Restaurant and Nightclub
6hSUJ53Tf1dNs_1d6EZ_pQ,Art Bar
JZPPsLYmLCc9uwuolor7cQ,Temple Bar
0REdlKVtzMv1KkSbyO0k5g,The Longfellow Bar
_S7t7NqubeE1qzGP9VFkvQ,Armando's Pizza & Subs
g-gRnwIf9LQpnEcXB95XNQ,Portugalia
yojzsz19r95Vh8UmNgp9WA,Pai kin Kao
uKB1eXRNNBq2w4-wUkusZA,Charlie's Kitchen
Uo6zk1gFwaw21YZ2gqlZCw,Moona
q8w8prtrDBgFrTzAl2hW4Q,Boston Burger Company
ciyFbe9oyIlpI2U_OjH3ew,Sapporo Ramen at H-Mart
a3EPYlpY5fO4f4yuvZzVDw,East Side Bar & Grille
wkQ1nCkrNlo25fRd3LCQUw,Tampopo
mNjI-BGs-FMaZCdwgP_8uA,Santouka Harvard Square
dv56VSw7tClqOuTYUrOwJw,The Asgard
cGQCqQueXUaxOVH8iFdjWw,Cambridge Deli & Grill
pVkvavnqw7t0uPx0udGqDg,Toscano
B7i-4taTCT__fT7lLWglCg,Benedetto
Q0pH_MGNt7RzjcQ7j2NXCg,Broadway Marketplace
xyoagpWYgFuIKcCE425epA,Naco Taco
GvqBVs9daMVjiH27lwRNUQ,Kendall Kitchen
5ZZns2J3zIoDCp3Sd_jD6A,JP Licks
WkjIWu8rIpAAUhnqsuik9w,The Table at Season to Taste
hViJhiow-CJVryMoEKxGhQ,IHOP
lQteiff58wXKN098M98JaA,Starbucks
Wa4Lho2R0DPrVePlge725g,Harvard House Of Pizza
u0CvoJ_bAx5SCSiI_meUOQ,Greek Corner Restaurant
pBYnV_sXSiuoCQfE9FlkSw,Angelo's Pizza
1G1OQnGgvz7Or7Cwe4bLxw,Cafe Barada
0kDuL7pKmlPskRjcd-uffA,Ole to Go!
HkBMQKpmmdCZgxjKLq3HcQ,Atwood's Tavern
DPjlSCyNOFUtS60VDK2eWg,Clover Food Lab
Whh9-r1AKYA5r4W2a8pnJA,Anna's Taqueria
26Y_Lxwc_qJWj22jBTyB0g,Joe Sent Me
