user,food_weight,service_weight,ambience_weight,price_weight,misc_weight
k0d3Jnxulohu1HdJj1Hfkg,,,,,0.0
u0x3SXagjYDbI2N4sgJ0Tw,30.0,70.0,0.0,0.0,0.0
80MUDP_Ny_J8jeShVxzdlw,,,,,0.0
p8yQsVA51dzkc9cecDpvrw,61.54,0.0,38.46,0.0,0.0
byro3oSQQ1gRESKlfiAqtQ,,,,,0.0
k1Qwwh_WqTbGby6rZNdg9Q,,,,,0.0
ldu2pDkPro-el8iqoySDfg,25.0,75.0,0.0,0.0,0.0
DRGhBidAUUNQd_Z-wluYhQ,,,,,0.0
uZW9mm02asvU7uM3F5I3vg,,,,,0.0
LeabNDboqQEerLjTlZx8Yw,,,,,0.0
9pRib6Bp06Dsvfvrrr5h5A,100.0,0.0,0.0,0.0,0.0
p0UbZ13W0IxJUy-hDB_OqA,54.55,45.45,0.0,0.0,0.0
LVhWEqGNnk8VQI1hw_zV0A,40.0,0.0,0.0,60.0,0.0
XBthX1WnbIIpxWKiZTlSQQ,100.0,0.0,0.0,0.0,0.0
J1wUvY4rxOgbRy2rEiae7g,,,,,0.0
tomJ5gMilyAAugNpbvICpg,50.0,0.0,50.0,0.0,0.0
j2EiiSMHUw4JbL3Zo0oTnQ,,,,,0.0
FdQZxULvI4GT0-1meVap7w,100.0,0.0,0.0,0.0,0.0
rYWocMgtGLTiAWjUbp-e_A,,,,,0.0
eOTzG0a3RhGs2qyQrmui5A,,,,,0.0
ZzfjS5CmFz7dId0IOQrOvQ,,,,,0.0
XHhcygTFQ2Z2mS5treEeEg,,,,,0.0
v6Vh6NVgmfzngx4Hs3OEsg,100.0,0.0,0.0,0.0,0.0
WzZh0h8okMmwxGcGnApteQ,,,,,0.0
sU3HYRrljZcuSl1JxTmTsA,50.0,50.0,0.0,0.0,0.0
dsR48-MXV7x9r6p-cYygrg,,,,,0.0
GBbN6cXCHW8T3ttUfFODPA,,,,,0.0
S3v2L43KNkKPNm_IcZ3T7Q,35.71,0.0,64.29,0.0,0.0
iC5JO52dGKJNxfzp3OVLPw,100.0,0.0,0.0,0.0,50.0
NXw0bCLF5ZtFMfhcj7CFSw,100.0,0.0,0.0,0.0,0.0
r6iDqL2OwCkhUltSaBbCGw,100.0,0.0,0.0,0.0,0.0
wR8juXsV8T_bscarrNSF9g,100.0,0.0,0.0,0.0,0.0
1X9mpDBQGgeULYQp9UOuHQ,,,,,0.0
x9Tu88OtnHpD4jZivjQH2w,,,,,0.0
nziz-LQelX9n-hIASoPA1Q,,,,,0.0
nkN_do3fJ9xekchVC-v68A,100.0,0.0,0.0,0.0,0.0
N_YhgzpcirpEcfNORYCxgQ,,,,,0.0
r9GkcVAlFzV6qMxtovO5zA,,,,,0.0
lbIgOOpgZfoOGDW_KvmzlQ,,,,,0.0
Eu9t9pDcGADgtNNs7h8UMw,47.22,0.0,0.0,52.78,100.0
DXNaZwb7fSwtNR8Lb6Zp5A,,,,,0.0
t7npLHcJZCDFE3bJp8AmUQ,,,,,0.0
e4186-PTDwSRTRswRiE_OA,100.0,0.0,0.0,0.0,0.0
hzecZbbAoHWN-tSeMu7_sA,,,,,0.0
NqE_mrtLY2Uej4E6RD0jrA,,,,,0.0
SBQK5agS1EvnvzWZTBLWWw,100.0,0.0,0.0,0.0,0.0
NTSzkUx4klnrC1rgl5IpoQ,,,,,0.0
X0fTignRkWwt8sT_FUt26w,100.0,0.0,0.0,0.0,0.0
oxcqs6JsuEx8PpFInMbpyQ,,,,,0.0
Teyv3k4-Y4aydpW9FEvWfw,38.46,0.0,61.54,0.0,0.0
6JbJryoAnVXAVdnk7UiVPQ,,,,,0.0
JQKMhxiLoME7eEsrbIdx5g,,,,,0.0
SBlaJCMgs5_z_7TBXMbBBw,50.0,0.0,50.0,0.0,0.0
jSRjlYCsDaODIazvjPQHDA,,,,,0.0
G9dkT998ln-Tdebfn1tN1g,25.0,75.0,0.0,0.0,0.0
PtV45pQ1JpGVp6EeGyqS3g,,,,,0.0
SlayeXofXuIkyzOZNGY1Ow,,,,,0.0
YjHxzImykIa8_iFeSbdCAg,,,,,0.0
V2YHqyseyjHcdnEV91VKWQ,,,,,0.0
lK9_xqeyb943jzK3SwqYPw,50.0,50.0,0.0,0.0,0.0
nD2tsdlBYzDZxBj7depWIA,100.0,0.0,0.0,0.0,0.0
3nWoziYmHnNl-Ian0ZCTAQ,,,,,0.0
YDDhO7ad0RgOhxax0uMeXQ,100.0,0.0,0.0,0.0,0.0
QRq50fwDndezD-0BuJvcXw,100.0,0.0,0.0,0.0,0.0
DAfJVyolo3zpkxGTFpmHrg,37.5,0.0,62.5,0.0,0.0
ETugO8RebFjUsSDbO-lOMg,100.0,0.0,0.0,0.0,0.0
C4oRZgWSphGDSt2SiORC3g,100.0,0.0,0.0,0.0,0.0
tCqYnhAdQhPO3JAAnc09ig,50.7,49.3,0.0,0.0,0.0
7phxyXKzR_T1Fs05n9Rz5A,,,,,0.0
Gwo_oIEd-TbtpmpL_mH7Dw,,,,,0.0
2m9C5FAnf7TqPnsa6mBXOA,,,,,0.0
A1AAoX-us_r-0w7rgTvENQ,,,,,0.0
ykDsNlvf4LoI3eBtUoasoQ,,,,,0.0
06jy3b64khcY8b8eGAtk8Q,0.0,100.0,0.0,0.0,0.0
wc8nwctVJ3dFGrq18-mj0g,35.29,0.0,64.71,0.0,0.0
IBVX8wPw_ka3u6USonzN7g,,,,,0.0
OpAfXeNL4kJA59PoUFU7ew,48.31,51.69,0.0,0.0,100.0
FfUcxU9aMX9O-iQxpL-urg,,,,,0.0
bqQGUPWqAw6G529mzlqfjQ,,,,,0.0
e_YQl5LBR7Gdrp_1vdj1yQ,19.35,16.13,32.26,32.26,0.0
ZFAtjSBQDA3kDExHwFz4Iw,100.0,0.0,0.0,0.0,100.0
nI1bFhyT4gpfEL9xp6vnng,100.0,0.0,0.0,0.0,0.0
p0sPTPMFJdeH_CSeS23FSA,100.0,0.0,0.0,0.0,0.0
xph6N6WXPKj70_91t9rCsw,,,,,0.0
jN1IuNRsWSzclgywGE5MGQ,,,,,0.0
AJSXZT_SoMOhf1PXSkVL7w,,,,,0.0
CEi_GHpx-zma1sL67XYhGg,100.0,0.0,0.0,0.0,0.0
3JNjKgUoFGDAKvFZ9HAJVw,,,,,0.0
HN2aWhD16JU1878Vd8NWBQ,,,,,0.0
Ga1MCOrhvFw5HGifle9aBQ,100.0,0.0,0.0,0.0,0.0
gCxuAewV977TqNRe2WvveA,,,,,0.0
UVMfyiltvXUcm3-EQbVMlA,,,,,0.0
dSBujPiRnPpvI8oyQZ2TJA,100.0,0.0,0.0,0.0,0.0
du1W4QoQ7KCjda_N-_IiFg,100.0,0.0,0.0,0.0,0.0
RPeJSHdB2z2oJOb_zHlR7g,,,,,0.0
oyFBkCKjALTJ1LTSLUyirw,41.67,58.33,0.0,0.0,0.0
XEDdhETCrlH4fXEoa43rHQ,,,,,0.0
GETvezsmbKvZNSj2cz-ISQ,,,,,0.0
GMxzcQwOAbCKnoUVm5fwpA,20.0,40.0,0.0,40.0,0.0
FtJQXNepCD-MVjNpJDYvlQ,,,,,0.0
FcmcutFeAeu6XRZ-Rru8ZA,100.0,0.0,0.0,0.0,0.0
3skAinDgPWrJLCDjooUe2g,,,,,0.0
03rRTBvZ5ZPtltZYXic3iA,,,,,0.0
BcDjF7ZdJdJZmDmelCv5Tg,100.0,0.0,0.0,0.0,0.0
sfvGSgTjveKKEkLTU7JXaw,,,,,0.0
6O3gLCaUmfW5EaJhfvjzzQ,,,,,0.0
qSauSGY2RsJ_cHZ04vb6pQ,,,,,0.0
r51qFzP8T5CiM3in8Mb30g,,,,,0.0
Cr8K-4OqDmj4WzPzt6U4tQ,,,,,0.0
H0FTIy3L2bX5rYwumB3Lig,100.0,0.0,0.0,0.0,0.0
DsKCvpCXcS0tjWwGGnVEsA,100.0,0.0,0.0,0.0,0.0
tUE4BhoJ3etYTFUZd8mKZg,,,,,0.0
5QzfEHWI8weHIAtzKFbWJg,,,,,0.0
vec4p1BHgEQVpxoE-70G8Q,100.0,0.0,0.0,0.0,0.0
aR7e73VWVsol7zsnxLOpVg,,,,,0.0
-dRP6GHdl5dtZrC8UvhEKg,,,,,0.0
Fw4B-kOOxZ0zdeKedPQFjw,,,,,0.0
u8tHXi55_D9OfVyhay1zTA,,,,,0.0
kXNvHDaWVA6ncf_7U7xTow,,,,,0.0
EANwHCE2T5s0pier67yqzQ,100.0,0.0,0.0,0.0,0.0
ezPgdpxI6ORTMx7XNz616A,100.0,0.0,0.0,0.0,0.0
3KKH82Me58lZkoyvKALYPw,,,,,0.0
ImraMaRQTZBgeXgoRkS-IA,,,,,0.0
4bt6FbZveRy2tCgAB6LGHg,,,,,0.0
rkx8kEurGM2bg5aAq7bjPQ,100.0,0.0,0.0,0.0,0.0
JZ_TcE_n275uf-Q3Xb7h3Q,50.0,50.0,0.0,0.0,0.0
mVX994rBlLzWugN-gjwZfQ,0.0,100.0,0.0,0.0,0.0
ldrNgIeMVp8j7nUNpv2elg,100.0,0.0,0.0,0.0,0.0
2RKfUSVZBeTJ-_X9bmGmKQ,,,,,0.0
mq65qv7AfU8CK2T1-nhLcw,40.16,59.84,0.0,0.0,0.0
yWd8xZQY5F6QXhVNQ5TxtA,,,,,0.0
klFmv62iLGxOSETZoK8RIA,,,,,0.0
zGb_ASyq8N6ua-bplYhmsA,100.0,0.0,0.0,0.0,0.0
2Z0I9POv2N5p1_vOnCN9lw,16.0,0.0,84.0,0.0,0.0
GXy3Y6ItIoMTZTr_xtllCw,100.0,0.0,0.0,0.0,0.0
PcRzKncKdW-zoSVl2c6JzQ,100.0,0.0,0.0,0.0,0.0
yjtGJlPrtC3Ap4yCrRNMcQ,100.0,0.0,0.0,0.0,0.0
kecRsyGnjlO0XYlUxiwNIQ,,,,,0.0
1OocYCAZixwbAXueW75FMw,,,,,0.0
0OW9GBkUAcob-mzObmQAWQ,100.0,0.0,0.0,0.0,0.0
GsA_1KSMNa4LhM1B4ojQKw,,,,,0.0
2HFfTZteAuw2HQV2XmeVUw,,,,,0.0
4Gcx5-L-bbFDxhn5B88GjA,,,,,0.0
_q10fJNXew3qz-Z2k2qIBQ,,,,,0.0
y9NEEHqhgdeBzwtrvmySpg,,,,,0.0
Yflk_eByf1mAPZrtDHseKQ,,,,,0.0
H6LUNj65WCCm8xQbXvPDZw,100.0,0.0,0.0,0.0,0.0
gNjVQuHiGgTTWTIU8mOsFQ,,,,,0.0
KquzrIZznJo2DUznujVL4A,,,,,0.0
q1vywLTVvTdVfd1A0RIOBw,53.01,0.0,46.99,0.0,0.0
w0Az8ZEJhAKEAc-8WVCzFg,,,,,0.0
aeFF8jSCYUyGVtljMW4xWQ,,,,,0.0
PLKXVAUKi1ch4ipt5hbGNw,,,,,100.0
PiOxxZ2INCLiTGkUERwYPA,,,,,0.0
4kDZb_V7iP7gRhX0ncdR6A,,,,,0.0
rxgTr9ynGQDM2_Wd9H6Xrg,,,,,0.0
-V1KIC0AdVP3p2k94vjEaw,100.0,0.0,0.0,0.0,0.0
U0_7iU6cFRzclZBHBsFRug,53.68,0.0,46.32,0.0,100.0
tZy-8_7WGHz5w3un21RzCQ,,,,,0.0
icaCwgoiA63RY4_f5bEytA,,,,,0.0
GUUxds28tMZMlBxOIoetyg,100.0,0.0,0.0,0.0,0.0
dMwza5MSW43PqlA0RTccYA,100.0,0.0,0.0,0.0,0.0
aZ3TLWS_HgoOvWAGqlbtBg,,,,,0.0
AlH-R_XXqQKiuM2IHwyFKQ,0.0,100.0,0.0,0.0,0.0
U4INQZOPSUaj8hMjLlZ3KA,42.86,0.0,57.14,0.0,0.0
D4CHdcVnDzdC-qRuCZaLYA,100.0,0.0,0.0,0.0,0.0
A1D0quQaZ1k6YtjmV9tvRA,,,,,0.0
XQs-CXQRm3zjcv6SjI0aBA,50.0,50.0,0.0,0.0,100.0
8JZFVGmRyps3JSOGO866-A,,,,,0.0
UNSfkhcgdw59Av3WpS0GQQ,,,,,0.0
KnZvj39dwc-RHBlPLdgBzA,,,,,0.0
CLXlDPo8zSOa4d1lTNBuEw,100.0,0.0,0.0,0.0,0.0
bQWxUQHfO33mYqiZQWzA3Q,100.0,0.0,0.0,0.0,0.0
ux8oH7TvcbSUGdrbC5c8tA,100.0,0.0,0.0,0.0,0.0
pcW5AjXxLTW7R52LGR16-w,,,,,0.0
5WJVom-_QERP0qsnn7veYA,100.0,0.0,0.0,0.0,0.0
_ZvIWPc_F1eZ5fygi8NQOQ,,,,,0.0
PZ9CgDx4va0Tf57U9_4VyA,0.0,100.0,0.0,0.0,0.0
lyMt2p_HIYGe6E_CryAjRQ,100.0,0.0,0.0,0.0,0.0
5knOImxk9G9HRV8eePjyhA,,,,,0.0
yC14u1BQgv7r6mdh6NfUjw,100.0,0.0,0.0,0.0,0.0
ovMvzHK4uNZHvajhay3WNw,,,,,0.0
wilq_ybPX2XbiRcnGvrVeg,,,,,0.0
Ve96uwx4Bs5JsI9r_ivLnQ,100.0,0.0,0.0,0.0,0.0
7Px3HWn8mo4pUgnEuROs4g,,,,,0.0
